date,title,comments
2021-03-24,Hitch: Conselheiro Amoroso,
2021-03-25,O Último Mestre do Ar,
2021-03-26,Arthur: O Milionário Irresistível ,inédito na Globo; ex-SBT
2021-03-29,O Que Esperar Quando Você Está Esperando,
2021-03-30,A Fabulosa Gilly Hopkins ,inédito em TV aberta
2021-03-31,O Dilema,
2021-04-01,A Ressurreição de Gavin Stone ,inédito em TV aberta
2021-04-02,Shrek Para Sempre,
2021-04-05,Vovó... Zona 2 ,"em novo horário, após o Plantão BBB"
2021-04-06,Um Bom Partido,
2021-04-07,Táxi ,2004
2021-04-08,Onde Nasce a Esperança,
2021-04-09,Lara Croft: Tomb Raider - A Origem da Vida ,reclassificado para 12 anos
2021-04-12,"Intocáveis | Meu Pai, Meu Herói ",somente para o ES
2021-04-13,Licença Para Casar,
2021-04-14,Mãos Talentosas: A História de Ben Carson,
2021-04-15,Uma Manhã Gloriosa,
2021-04-16,Bater ou Correr em Londres,
2021-04-19,Sully: O Herói do Rio Hudson,
2021-04-20,Brooklin: Um Amor Sem Fronteiras ,inédito em TV aberta
2021-04-21,Toy Story 3,
2021-04-22,Jurassic Park: Parque dos Dinossauros ,reclassificado para 12 anos
2021-04-23,A Teoria de Tudo,
2021-04-26,Crô em Família,
2021-04-27,A Feiticeira ,2005
2021-04-28,Beleza Oculta,
2021-04-29,A Sogra,
2021-04-30,O Aprendiz de Feiticeiro,
2021-05-03,O Medalhão,
2021-05-04,"Loucas Por Amor, Viciadas em Dinheiro ",término da exibição após o Plantão BBB
2021-05-05,X-Men: Primeira Classe ,retorno da exibição após o Jornal Hoje
2021-05-06,Tá Chovendo Hambúrger,
2021-05-07,Linda de Morrer,
2021-05-10,Paixão de Aluguel,
2021-05-11,O Impossível ,"exceto para SP, PR, ES, TO, MT, BA, SE, AL, PB, RN, CE, PI, MA, PA, AM, RO, AC, RR, AP, DF e Resende-RJ - Vale a Pena Ver de Novo e transmissão do Campeonato Paulista: Corinthians x Inter de Limeira"
2021-05-12,Meu Namorado é o Bicho,
2021-05-13,Idas e Vindas do Amor,
2021-05-14,Viagem ao Centro da Terra: O Filme,
2021-05-17,Invictus ,inédito na Globo; ex-SBT
2021-05-18,A Vingança das Damas de Honra,
2021-05-19,Encontro de Amor,
2021-05-20,Um Homem de Família ,2016
2021-05-21,Entrando Numa Fria Maior Ainda,
2021-05-24,Noites de Tormenta,
2021-05-25,Lanterna Verde ,reclassificado para 14 anos
2021-05-26,Fazenda dos Cisnes ,exceto para SC - Vale a Pena Ver de Novo e transmissão da final do Campeonato Catarinense: Chapecoense x Avaí
2021-05-27,O Amor Dá Trabalho ,inédito em TV aberta
2021-05-28,Resgate Abaixo de Zero,
2021-05-31,A Morte e Vida de Charlie ,inédito em TV aberta
2021-06-01,Pare o Casamento!,
2021-06-02,Uma Amizade Inesperada,
2021-06-03,Depois da Terra,
2021-06-04,Maria do Caritó ,inédito em TV aberta
2021-06-07,Uma Boa Ação,
2021-06-08,Não Houve Exibição - Amistoso da Seleção Olímpica: Brasil x Sérvia,
2021-06-09,Diário de uma Paixão,
2021-06-10,Simplesmente Complicado,
2021-06-11,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Rússia,
2021-06-14,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,
2021-06-15,De Repente Grávida,
2021-06-16,Querido John,
2021-06-17,Evereste,
2021-06-18,Tudo Que Quero ,inédito em TV aberta
2021-06-21,Decisões Extremas,
2021-06-22,Um Amor Verdadeiro,
2021-06-23,A Corrente do Bem,
2021-06-24,O Shaolin do Sertão,
2021-06-25,Bilhete de Loteria,
2021-06-28,Coincidências do Amor,
2021-06-29,Um Presente Para Helen,
2021-06-30,Mamãe Saiu de Férias ,inédito em TV aberta
2021-07-01,Os Goonies ,retorno à Globo; ex-SBT
2021-07-02,Não Houve Exibição - Eurocopa: Bélgica x Itália,
2021-07-05,Toy Story 2,
2021-07-06,Não Houve Exibição - Eurocopa: Itália x Espanha,
2021-07-07,Sai de Baixo: O Filme,
2021-07-08,Matilda,
2021-07-09,Príncipe da Pérsia: As Areias do Tempo,
2021-07-12,Malasartes e o Duelo com a Morte ,reclassificado para 12 anos
2021-07-13,Segurança de Shopping 2,
2021-07-14,Meu Monstro de Estimação,
2021-07-15,Não Houve Exibição - Amistoso da Seleção Olímpica: Brasil x Emirados Árabes,
2021-07-16,Como Treinar o Seu Dragão,
2021-07-19,O Sétimo Filho,
2021-07-20,Encantada,
2021-07-21,Uma Razão Para Vencer ,inédito em TV aberta
2021-07-22,Space Jam: O Jogo do Século,
2021-07-23,Vitórias de uma Vida,
2021-07-26,Kung Fu Panda 2,
2021-07-27,Uma Aventura e Tanto ,inedito em TV aberta
2021-07-28,Um Tio Quase Perfeito,
2021-07-29,Gremlins ,retorno à Globo; ex-SBT
2021-07-30,O Terno de Dois Bilhões de Dólares,
2021-08-02,Duas de Mim,
2021-08-03,Castelos de Gelo ,2010
