date,title,comments,id,english_title,release_date,vote_average
2017-08-04,Super-Herói: O Filme,,11918,Superhero Movie,2008-03-28,5.228
2017-08-03,O Auto Da Compadecida, (somente para as afiliadas da Globo),40096,A Dog's Will,2000-09-15,8.389
2017-08-18,Se Eu Fosse Você 2, (somente para as afiliadas da Globo),21752,If I Were You 2,2009-02-01,6.1
2017-08-21,Compramos Um Zoológico, (somente para as afiliadas da Globo),74465,We Bought a Zoo,2011-12-08,6.754
2017-08-23,Um Tira No Jardim De Infância,,951,Kindergarten Cop,1990-12-21,6.061
2017-08-17,,(inédito em TV aberta),,,,
2017-08-25,Um Faz De Conta Que Acontece,,10202,Bedtime Stories,2008-12-24,6.132
2017-08-24,O Menino Da Porteira,,49882,O Menino da Porteira,2009-03-06,6.2
2017-08-31,A Grande Vitória,(somente para as afiliadas da Globo),254436,The Great Victory,2014-05-08,5.3
2017-08-30,Voando Alto,,625561,Travis Scott: Look Mom I Can Fly,2019-08-28,7.0
2017-09-04,A Filha Do Chefe,,2830,My Boss's Daughter,2003-08-21,5.012
2017-08-22,Doce Lar,(somente para as afiliadas da Globo),364964,Sweet Home,2014-09-01,0.0
2017-09-06,Como Agarrar Meu Ex-Namorado,,54054,One for the Money,2012-01-26,5.54
2017-08-28,Entrando Numa Fria Maior Ainda,(somente para as afiliadas da Globo),39451,Little Fockers,2010-12-21,5.64
2017-09-08,Diário De Um Banana 3: Dias De Cão,,82650,Diary of a Wimpy Kid: Dog Days,2012-08-02,6.281
2017-09-05,O Amor De Um Pai, (somente para as afiliadas da Globo),127717,Freshman Father,2010-06-05,6.6
2017-08-29,Vida Roubada,(somente para as afiliadas da Globo),43470,A Stolen Life,1946-05-01,6.5
2017-09-14,Na Trilha Da Fama,,14024,Raise Your Voice,2004-08-10,6.534
2017-09-07,Os Smurfs,,41513,The Smurfs,2011-07-29,5.765
2017-09-12,As 7 Regras Do Amor,(somente para as afiliadas da Globo),45693,Lucky 7,2003-07-20,5.8
2017-09-01,Marley &amp; Eu,,72391,Marley & Me: The Puppy Years,2011-06-01,5.8
2017-09-11,Você Não Pode Beijar A Noiva, (somente para as afiliadas da Globo),73500,You May Not Kiss the Bride,2011-04-03,5.7
2017-09-13,Edward Mãos De Tesoura,(somente para as afiliadas da Globo),162,Edward Scissorhands,1990-12-05,7.715
2017-09-15,Vovó...Zona 2, (somente para as afiliadas da Globo),11565,Big Momma's House 2,2006-01-26,5.738
2017-09-21,O Jogo Do Amor,(somente para as afiliadas da Globo),19572,Fling,2008-11-07,5.4
2017-09-22,O Medalhão,(exceto para o RJ - RJTV Especial: Guerra na Rocinha),10610,The Medallion,2003-08-15,5.583
2017-09-25,Cada Um Tem A Gêmea Que Merece,(exceto para o RJ - Supercapítulo de Senhora do Destino),71880,Jack and Jill,2011-11-11,4.347
2017-09-20,De Repente 30,,10096,13 Going on 30,2004-04-13,6.723
2017-09-18,A Fera,,680295,A Feral World,2020-09-22,6.1
2017-09-27,Divino Processo, (somente para as afiliadas da Globo),257177,Frank vs. God,2014-02-19,6.8
2017-08-11,Os Caras De Pau Em O Misterioso Roubo Do Anel,(somente para as afiliadas da Globo),228184,Os Caras de Pau em O Misterioso Roubo do Anel,2014-12-25,4.8
2017-09-29,Os Sem-Floresta,,7518,Over the Hedge,2006-05-17,6.531
2017-10-02,Maluca Paixão,(somente para as afiliadas da Globo),23706,All About Steve,2009-08-06,4.939
2017-09-26,Coincidências Do Amor,,41210,The Switch,2010-05-11,6.246
2017-10-03,, (somente para as afiliadas da Globo),,,,
2017-10-06,O Fada Do Dente,,23023,Tooth Fairy,2010-01-14,5.486
2017-10-09,As Mil Palavras,,953764,As Mil Palavras de Giacomo Geremia,2022-03-13,0.0
2017-10-11,Zathura: Uma Aventura Espacial,,6795,Zathura: A Space Adventure,2005-11-06,6.401
2017-06-29,Uma Aventura Animal, (somente para as afiliadas da Globo),350822,Uma Aventura Animal na Terra do Vento,,0.0
2017-10-04,"Corina, Uma Babá Perfeita",,10464,"Corrina, Corrina",1994-08-12,6.668
2017-10-13,Madagascar 2,,10527,Madagascar: Escape 2 Africa,2008-10-30,6.48
2017-10-10,Encantada,,204678,Enchanted Isles,1965-03-15,6.7
2017-10-24,Mudança De Hábito 2: Mais Loucuras No Convento,,6279,Sister Act 2: Back in the Habit,1993-12-09,6.363
2017-10-25,Querido John, (somente para as afiliadas da Globo),22971,Dear John,2010-02-04,6.836
2017-10-20,O Diabo Veste Prada,(somente para as afiliadas da Globo),350,The Devil Wears Prada,2006-06-29,7.382
2017-10-16,Jogada Certa, (somente para as afiliadas da Globo),38093,Just Wright,2010-05-14,6.392
2017-10-17,Lição De Vida, (somente para as afiliadas da Globo),11121,Tess,1979-10-06,6.976
2017-10-18,Doze É Demais 2,,9641,Cheaper by the Dozen 2,2005-12-21,6.14
2017-10-19,Amor Plus Size, (somente para as afiliadas da Globo),121730,Big is Beautiful,2012-03-27,5.82
2017-10-27,Segurança De Shopping,(somente para as afiliadas da Globo),256961,Paul Blart: Mall Cop 2,2015-04-16,5.152
2017-10-23,Licença Para Casar, (somente para as afiliadas da Globo),2959,License to Wed,2007-07-04,5.677
2017-10-31,Um Presente Para Helen, (somente para as afiliadas da Globo),4599,Raising Helen,2004-05-27,6.12
2017-11-01,O Paizão,(somente para as afiliadas da Globo),9032,Big Daddy,1999-06-25,6.451
2017-10-26,Revivendo O Amor,(somente para as afiliadas da Globo),274007,The Color of Rain,2014-05-31,6.5
2017-10-30,Táxi,(somente para as afiliadas da Globo),2330,Taxi,1998-04-08,6.65
2017-11-03,Transformers: A Vingança Dos Derrotados,,8373,Transformers: Revenge of the Fallen,2009-06-19,6.167
2017-11-02,Como Treinar O Seu Dragão,,638507,How to Train Your Dragon: Homecoming,2019-10-25,8.08
2017-09-19,Palavras Do Coração,(somente para as afiliadas da Globo),105449,Notes from the Heart Healer,2012-05-12,5.731
2017-09-28,,(somente para as afiliadas da Globo),,,,
2017-11-06,Noivas Em Guerra,(somente para as afiliadas da Globo),10521,Bride Wars,2009-01-09,6.236
2017-11-07,2 Filhos De Francisco,(somente para as afiliadas da Globo),49367,Two Sons of Francisco,2005-08-19,6.807
2017-06-20,Superando O Passado,(somente para as afiliadas da Globo),126285,A Dog Named Duke,2012-04-28,6.6
