data,title,comments,year
08/06,Não Houve Exibição - Amistoso da Seleção Olímpica: Brasil x Sérvia,,2021
09/06,Diário de uma Paixão,,2021
10/06,Simplesmente Complicado,,2021
11/06,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Rússia,,2021
14/06,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Canadá,,2021
15/06,De Repente Grávida,,2021
16/06,Querido John,,2021
17/06,Evereste,,2021
18/06,Tudo Que Quero ,(inédito em TV aberta),2021
21/06,Decisões Extremas,,2021
22/06,Um Amor Verdadeiro,,2021
23/06,A Corrente do Bem,,2021
24/06,O Shaolin do Sertão,,2021
25/06,Bilhete de Loteria,,2021
28/06,Coincidências do Amor,,2021
29/06,Um Presente Para Helen,,2021
30/06,Mamãe Saiu de Férias ,(inédito em TV aberta),2021
01/07,Os Goonies ,(retorno à Globo; ex-SBT),2021
02/07,Não Houve Exibição - Eurocopa: Bélgica x Itália,,2021
05/07,Toy Story 2,,2021
06/07,Não Houve Exibição - Eurocopa: Itália x Espanha,,2021
07/07,Sai de Baixo: O Filme,,2021
08/07,Matilda,,2021
09/07,Príncipe da Pérsia: As Areias do Tempo,,2021
12/07,Malasartes e o Duelo com a Morte ,(reclassificado para 12 anos),2021
13/07,Segurança de Shopping 2,,2021
14/07,Meu Monstro de Estimação,,2021
15/07,Não Houve Exibição - Amistoso da Seleção Olímpica: Brasil x Emirados Árabes,,2021
16/07,Como Treinar o Seu Dragão,,2021
19/07,O Sétimo Filho,,2021
20/07,Encantada,,2021
21/07,Uma Razão Para Vencer ,(inédito em TV aberta),2021
22/07,Space Jam: O Jogo do Século,,2021
23/07,Vitórias de uma Vida,,2021
26/07,Kung Fu Panda 2,,2021
27/07,Uma Aventura e Tanto ,(inedito em TV aberta),2021
28/07,Um Tio Quase Perfeito,,2021
29/07,Gremlins ,(retorno à Globo; ex-SBT),2021
30/07,O Terno de Dois Bilhões de Dólares,,2021
02/08,Duas de Mim,,2021
03/08,Castelos de Gelo (2010),,2021
04/08,Como Se Fosse a Primeira Vez,,2021
05/08,Karatê Kid II: A Hora da Verdade Continua,,2021
06/08,De Repente Pai,,2021
09/08,Te Amarei para Sempre,,2021
10/08,MIB: Homens de Preto 3,,2021
11/08,A Culpa é das Estrelas,,2021
12/08,A Máscara do Zorro ,(reclassificado para 12 anos),2021
13/08,Coração de Tinta: O Livro Mágico ,(inédito na Globo; ex-SBT),2021
16/08,O Que de Verdade Importa,,2021
17/08,O Amor Não Tira Férias,,2021
18/08,Somos Todos Iguais,,2021
19/08,Sob o Mesmo Céu,,2021
20/08,Sonhos de Papel ,"(Exibição às 16h, após Copa do Mundo de Futebol de Areia: Brasil x Suiça)",2021
23/08,Shrek 2,,2021
24/08,As Loucuras de Dick e Jane (2005) ,"(Exibição às 15h30, após Copa do Mundo de Futebol de Areia: Brasil x Belarus)",2021
25/08,Stardust: O Mistério da Estrela,,2021
26/08,Um Amor de Vizinha,,2021
27/08,Plano B (2010),,2021
30/08,Miss Simpatia,,2021
31/08,À Prova de Fogo,,2021
01/09,Um Amor à Altura,,2021
02/09,Bem-Vindo à Vida,,2021
03/09,À Procura do Amor,,2021
06/09,Nossa Vida com Cães ,(inédito em TV aberta),2021
07/09,Cegonhas: A História Que Não Te Contaram,,2021
08/09,Os Estagiários,,2021
09/09,O Que Te Faz Mais Forte,,2021
10/09, Cine Holliúdy 2: A Chibata Sideral,,2021
13/09,Um Tira no Jardim de Infância 2 ,"(Exibição às 15h30, após Copa do Mundo de Futsal: Brasil x Vietnã)",2021
14/09,Joy: O Nome do Sucesso,,2021
15/09,Como Não Esquecer Essa Garota,,2021
16/09,Roubo nas Alturas ,"(Exibição às 15h30, após Copa do Mundo de Futsal: Brasil x República Tcheca)",2021
17/09,A Seleção ,(inédito em TV aberta),2021
20/09,Não Houve Exibição - Amistoso da Seleção Feminina: Brasil x Argentina,,2021
21/09,Agente 86,,2021
22/09,O Livro do Amor ,(inédito em TV aberta),2021
23/09,Sim Senhor ,(inédito na Globo; ex-SBT / Exibição às 15:45 após Copa do Mundo de Futsal: Brasil x Japão),2021
24/09,Alice Através do Espelho,,2021
27/09,Um Senhor Estagiário,,2021
28/09,O Túnel,,2021
29/09,Portal dos Guerreiros ,(Exibição às 15:45 após Copa do Mundo de Futsal: Brasil x Argentina),2021
30/09,Divórcio ,(inédito em TV aberta),2021
01/10,Somos Marshall ,(inédito na Globo; ex-SBT),2021
04/10,As Branquelas,,2021
05/10,Cartas Para Deus,,2021
06/10,Meninas Malvadas,,2021
07/10,Megan Leavey,,2021
08/10,Fora do Rumo,,2021
11/10,O Diário da Princesa,,2021
12/10,Shrek Para Sempre,,2021
13/10,Cavalo de Guerra,,2021
14/10,Cidades de Papel,,2021
15/10,A Luta Por um Ideal,,2021
18/10,Insubstituível,,2021
19/10,De Repente 30,,2021
20/10,"Eu, Robô",,2021
21/10,Um Dia,,2021
22/10,Casamento Grego 2,,2021
25/10,Uma Prova de Amor,,2021
26/10,Muito Bem Acompanhada,,2021
27/10,A Última Palavra,,2021
28/10,Romeu e Julieta (2013) ,(reclassificado para 14 anos),2021
29/10,Super Escola de Heróis,,2021
01/11,Como Treinar o Seu Dragão 2,,2021
02/11,O Bom Gigante Amigo ,(somente para SP e PR / os outros estados  acompanham o Vale a Pena Ver de Novo e Brasileirão: Athletico-PR x Flamengo),2021
03/11,Arthur: O Milionário Irresistível,,2021
04/11,Incondicional ,(inédito em TV aberta),2021
05/11,O Que Esperar Quando Você Está Esperando,,2021
08/11,Esposa de Mentirinha ,(reclassificado para 12 anos),2021
09/11,Intocáveis (2011),,2021
10/11,Sem Reservas,,2021
11/11,Chocante,,2021
12/11,Bater ou Correr em Londres,,2021
15/11,As Mil Palavras,,2021
